Comment,Designator,Footprint,LCSC
0.1u,"C4,R6,R7,R8,R9",C_0402_1005Metric,C114762
1n,"C6,C7",C_0402_1005Metric,C126532
4.7u,"C2,C3",C_0805_2012Metric,C162427
FerriteBead,"FB1,FB2",L_0603_1608Metric,C19330
GND,TP2,TestPoint_Keystone_5000-5004_Miniature,C238122
V_IN,TP1,TestPoint_Keystone_5000-5004_Miniature,C238123
VDDA,TP3,TestPoint_Keystone_5000-5004_Miniature,C238124
33,"R4,R5",R_0402_1005Metric,C25105
15k,R1,R_0402_1005Metric,C25756
18k,R2,R_0402_1005Metric,C25762
RT_IN_SEL,"J12,J13",PinHeader_1x03_P2.54mm_Vertical,C2894926
1k,R3,R_0402_1005Metric,C4109
ON,D1,LED_0603_1608Metric,C434423
LT3042xMSE,U1,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,C461518
USB_B_Micro,J2,USB_Micro-B_Molex-105017-0001,C505111
V_SET_JMP,"J1,J10,J11,J5,J6,J7,J8,J9",PinHeader_1x02_P2.54mm_Vertical,C5116481
RIGHT_SMA,"J14,J15,J3,J4",SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,C530661
4.7u,"C1,C5,C8,C9",C_0805_2012Metric,C60474
FAN3852,U3,FAN3852,
MountingHole_Pad,H4,MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,
MountingHole_Pad,H1,MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,
AudioJack3,J16,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,
MountingHole_Pad,H3,MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,
FAN3852,U2,FAN3852,
MountingHole_Pad,H2,MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,
